Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Name_id,Year
Klay Thompson,21,GSW,0,30,600,0.05,66,24.4,12.5,2.4,2,0.7,0.3,0.443,0.414,0.868,1.7,0.05,thompkl01,2012
Isaiah Thomas,22,SAC,0,28,600,0.047,65,25.5,11.5,2.6,4.1,0.8,0.1,0.448,0.379,0.832,4.3,0.124,thomais02,2012
Brandon Knight,20,DET,0,21,600,0.035,66,32.3,12.8,3.2,3.8,0.7,0.2,0.415,0.38,0.759,1.3,0.029,knighbr03,2012
Chandler Parsons,23,HOU,0,14,600,0.023,63,28.6,9.5,4.8,2.1,1.2,0.5,0.452,0.337,0.551,3.4,0.09,parsoch01,2012
MarShon Brooks,23,NJN,0,4,600,0.007,56,29.4,12.6,3.6,2.3,0.9,0.3,0.428,0.313,0.764,0.8,0.022,brookma01,2012
Kemba Walker,21,CHA,0,3,600,0.005,66,27.2,12.1,3.5,4.4,0.9,0.3,0.366,0.305,0.789,0.3,0.009,walkeke02,2012
Josh Selby,20,MEM,0,1,600,0.002,28,8.5,2.3,0.5,1.1,0.3,0,0.347,0.133,0.786,-0.5,-0.105,selbyjo01,2012
Damian Lillard,22,POR,121,605,605,1,82,38.6,19,3.1,6.5,0.9,0.2,0.429,0.368,0.844,5.8,0.088,lillada01,2013
Anthony Davis,19,NOH,0,306,605,0.506,64,28.8,13.5,8.2,1,1.2,1.8,0.516,0,0.751,6.1,0.159,davisan02,2013
Bradley Beal,19,WAS,0,94,605,0.155,56,31.2,13.9,3.8,2.4,0.9,0.5,0.41,0.386,0.786,3,0.082,bealbr01,2013
Andre Drummond,19,DET,0,36,605,0.06,60,20.7,7.9,7.6,0.5,1,1.6,0.608,0.5,0.371,4.5,0.172,drumman01,2013
Dion Waiters,21,CLE,0,21,605,0.035,61,28.8,14.7,2.4,3,1,0.3,0.412,0.31,0.746,0.9,0.026,waitedi01,2013
Harrison Barnes,20,GSW,0,8,605,0.013,81,25.4,9.2,4.1,1.2,0.6,0.2,0.439,0.359,0.758,2.8,0.065,barneha02,2013
Chris Copeland,28,NYK,0,8,605,0.013,56,15.4,8.7,2.1,0.5,0.3,0.2,0.479,0.421,0.759,2.1,0.117,copelch01,2013
